"condicao_metereologica"
"Nublado"
"Vento"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Nevoeiro/neblina"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Sol"
"Nublado"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Sol"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Chuva"
"Nublado"
"Ceu Claro"
"Nublado"
"Ceu Claro"
"Nublado"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Nublado"
"Sol"
"Chuva"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Ceu Claro"
"Sol"
"Nublado"
"Nevoeiro/neblina"
"Chuva"
"Sol"
"Chuva"
"Sol"
"Sol"
"Sol"
"Chuva"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Nublado"
"Sol"
"Nublado"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Sol"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Ceu Claro"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Chuva"
"Nublado"
"Sol"
"Chuva"
"Nublado"
"Ceu Claro"
"Chuva"
"Ceu Claro"
"Nublado"
"Chuva"
"Nublado"
"Chuva"
"Ceu Claro"
"Chuva"
"Nublado"
"Nublado"
"Chuva"
"Sol"
"Chuva"
